Kecamatan,Kabupaten,Nama objek,Nomor Lokasi Keterdapatan,Komoditi,Kode Unsur,Kelompok Mineral Logam,Lokasi Keterdapatan,Provinsi,Status Penyelidikan Mineral Logam,Bijih Terbukti (Ton),Logam Terbukti (Ton),keteragan,acuan,objectid,longitude,latitude,Jenis Izin,Lokasi Tambang,Luas Wilayah,Tanggal Berakhir SK,Tanggal Berlaku SK,Mine_port(meter),Mine_road(meter),Mine_Smelter(meter),Produksi Tahunan (ton),Target Produksi Harian (ton),Produksi Aktual Harian (ton),Pencapaian (%),Jumlah Ekskavator,Jumlah Truk Tambang,Ketersediaan Fisik (PA) %,Penggunaan Ketersediaan (UA) %,Jam Downtime,Konsumsi BBM (Liter),Biaya Penambangan per Ton (Rp),Biaya Pengangkutan per Ton (Rp),Biaya Penanganan Pelabuhan per Ton (Rp),Biaya Pemrosesan Smelter per Ton (Rp),AISC per Ton (Rp),CAPEX / OPEX,TRIFR,LTIFR,Jumlah Insiden,Indikator Fatalitas,Harga Nikel Historis (Rp/Ton),Nilai Tukar (Rp/USD),Pembeli / Offtaker,Jenis Kontrak
Molawe,Konawe Utara,Nikel Mandiodo,294.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Mandiodo,Sulawesi Tenggara,Eksplorasi,0,0,Limonit-Saprolit (wmt),"PT Antam, Laporan RKAB Tahun 2022",1308,122.246,-3.537,IUP,"Kec. Lasolo, Konawe",6213,"Januari 11, 2030","Januari 11, 2010",,,,1749017,5237,4912,93.79,20,46,96.54,83.45,19,19688,394469,94628,35433,719689,1244219,CAPEX,1.41,0.21,1,Tidak,332177305,15737,PT Vale Indonesia,FOB Motorship
Molawe,Konawe Utara,Nikel Bahubulu,295.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Bahubulu,Sulawesi Tenggara,Operasi Produksi,0,0,Limonit-Saprolit (wmt),"PT Antam, Laporan RKAB Tahun 2022",1309,122.325,-3.567,IUP,"Kec. Lasolo, Konawe",6213,"Januari 11, 2030","Januari 11, 2010",52880.919,10063.228,38665.49,1444646,2140,2115,98.83,27,41,90.13,77.07,13.5,7280,233922,55632,50665,721140,1061359,CAPEX,2.21,0.08,0,Tidak,287412443,15943,PT IWIP,FOB Motorship
Pomalaa,Kolaka,Nikel WSPM 017,1.950.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,WSPM 017,Sulawesi Tenggara,Operasi Produksi,0,0,"Limonit dan saprolit, kadar Ni 1,27% s.d. 1.72%","PT Antam, Laporan RKAB Tahun 2022",1482,121.536,-4.263,IUP,Kec. Pomalaa,584.3,"Maret 14, 2034","Mei 18, 2020",11981.177,2926.315,3483.409,1550397,2074,1896,91.42,16,40,89.15,85.75,17.9,11802,380578,72786,30688,640964,1125016,OPEX,1.76,0.37,0,Tidak,265760151,15954,PT Aneka Tambang,CIF
Pomalaa,Kolaka,Nikel WSPM 016,1.951.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,WSPM 016,Sulawesi Tenggara,Operasi Produksi,1930000,24792.6,"Limonit dan saprolit, kadar Ni 1,36% s.d. 1,83%","PT Antam, Laporan RKAB Tahun 2022",1483,121.63,-4.204,IUP,Kec. Pomalaa,2712,"Maret 14, 2034","Mei 18, 2020",4783.091,1857.652,3777.922,645839,3585,3558,99.25,28,47,92.91,86.64,48.4,8968,335602,60481,52612,607765,1056460,OPEX,0.41,0.39,1,Tidak,269188690,15735,PT Vale Indonesia,FOB Motorship
Pomalaa,Kolaka,Nikel WSPM 015,1.952.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,WSPM 015,Sulawesi Tenggara,Operasi Produksi,2840000,38337.6,"Limonit dan saprolit, kadar Ni 1,38% s.d. 2%","PT Antam, Laporan RKAB Tahun 2022",1484,121.553,-4.278,IUP,Kec. Pomalaa,878.2,"Juni 25, 2030","Mei 18, 2020",12495.622,185.727,1603.08,968549,1584,1466,92.55,26,65,92.55,86.42,9.2,7965,384379,125934,42414,742744,1295471,OPEX,1.56,0.07,2,Tidak,260351026,15999,PT Vale Indonesia,CIF
Kabaena Selatan,Bombana,"Nikel Salgado, Purano, Bangko",311.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,"Salgado, Purano, Bangko",Sulawesi Tenggara,Operasi Produksi,5252000,61136.6,"Kadar Ni 1,1% - 2,2%","PT Anugrah Harisma Barakah, Laporan RKAB Tahun 2022",1322,121.934,-5.413,IUP,Kec. Talaga Kab. Buton dan Kec Kabaena Selatan,2527,"Juli 25, 2030","Juli 26, 2010",16534.744,625.993,57702.59,1651765,2625,2585,98.48,16,35,90.32,78.33,44,7628,365202,148467,46790,539210,1099669,CAPEX,0.71,0.2,0,Tidak,319873771,15595,PT Vale Indonesia,CIF
Molawe,Konawe Utara,Nikel Tapunggaya 2,2.555.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapunggaya 2,Sulawesi Tenggara,Operasi Produksi,300000,4800,"4 blok, Blok A mempunyai cadangan, kadar rata-rata 1,6%","PT Apollo Nickel Indonesia, Laporan RKAB Tahun 2020",1577,122.3632,-3.3867,IUP,Kec. Lasolo,106,"Oktober 21, 2031","Oktober 31, 2011",67719.83,2244.524,38745.133,1748389,3183,3138,98.59,19,44,92.82,76.43,36.9,8105,266432,105398,52827,439153,863810,CAPEX,1.89,0.45,2,Tidak,300299525,16012,PT IWIP,Spot Contract
Talagaraya,Buton Tengah,Nikel Talaga Besar,1.419.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Talaga Besar,Sulawesi Tenggara,Operasi Produksi,2230000,27629.7,"Kadar Ni 1,2% - 1,77%","PT Arga Morini Indah, Laporan RKAB 2020 (Tabulasi Dinas ESDM Provinsi)",1428,122.033,-5.414,IUP,Kec. Talaga Raya,2834.96,"Juli 11, 2027","Juli 12, 2007",10615.775,463.79,57734.869,1152825,5374,5212,96.99,20,37,97.16,84.98,42.4,15851,365579,67684,46186,700785,1180234,CAPEX,2.1,0,1,Tidak,295118290,15661,PT Vale Indonesia,Spot Contract
Talaga Raya,Buton,Nikel Wulu,2.790.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Wulu,Sulawesi Tenggara,Operasi Produksi,2230000,27629.7,"Blok I - IV, Ni 1,2% s.d. 1,77%","PT Arga Morini Indah, Laporan RKAB Tahun 2020",1608,122.0012,-5.436,IUP,Kec. Talaga Raya,2834.96,"Juli 11, 2027","Juli 12, 2007",13982.161,514.783,59963.999,1707146,5468,5350,97.84,25,54,91.08,86.03,48.9,12611,233826,52115,49703,510369,846013,CAPEX,1.56,0.15,2,Tidak,317188758,15810,PT Vale Indonesia,FOB Motorship
Molawe,Konawe Utara,Nikel Tapunggaya 4 (Blok Utara),2.557.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapunggaya 4 (Blok Utara),Sulawesi Tenggara,Operasi Produksi,420000,4821.6,"Kadar Ni 1,1% s.d. 2,6%","PT Bhumi Karya Utama, Laporan RKAB Tahun 2022",1579,122.2748,-3.3543,IUP,"Kec. Langgikima, Konawe Utara",310,"Desember 12, 2032","Juni 5, 2017",61668.289,433.844,33733.667,1762537,2021,2050,101.43,23,43,87.56,79.83,42.9,13141,258193,147609,68238,791541,1265581,CAPEX,1.56,0.28,2,Tidak,329552520,15655,PT IMIP,CIF
Molawe,Konawe Utara,Nikel Tapunggaya 4 (Blok Selatan),2.795.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapunggaya 4 (Blok Selatan),Sulawesi Tenggara,Operasi Produksi,560000,6546.4,"Kadar Ni 1,1% s.d. 2,6%","PT Bhumi Karya Utama, Laporan RKAB Tahun 2022",1613,122.2657,-3.3728,IUP,"Kec. Langgikima, Konawe Utara",310,"Desember 12, 2032","Juni 5, 2017",63487.908,641.334,35820.277,1081217,5055,5156,102,27,62,89.9,87.86,47.5,14067,242354,81636,70515,565671,960176,OPEX,0.98,0.17,0,Tidak,263714471,15743,PT IWIP,CIF
Molawe,Konawe Utara,Nikel Binanga,2.788.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Binanga,Sulawesi Tenggara,Operasi Produksi,197925,2.528.491.875,"Kadar Ni 1,7% - 1,95%","PT Binanga Hartama Raya, Laporan RKAB Tahun 2020",1606,122.3089,-3.3755,IUP,Kec. Lasolo,185,"Juni 23, 2031","Juni 23, 2011",64799.689,590.464,36364.714,1847131,1772,1726,97.4,17,55,90.12,72.88,10.7,19562,226633,61201,30293,740717,1058844,CAPEX,1.23,0.14,0,Tidak,308962485,15687,PT Aneka Tambang,CIF
Pomalaa,Kolaka,Nikel Tambea,2.531.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tambea,Sulawesi Tenggara,Operasi Produksi,500000,5775,"Blok A, B, C dan D, kadar Ni 1,6% - 1,65%","PT Bola Dunia Mandiri, Laporan RKAB Tahun 2020",1553,121.6219,-4.2548,IUP,"Kec. Pomalaa, Kab. Kolaka",260,"Agustus 26, 2027","Agustus 26, 2017",9244.335,182.185,6476.735,932492,4469,4424,98.99,20,62,86.7,87.58,40.8,22098,218000,67700,48891,416983,751574,OPEX,2.19,0.23,2,Tidak,338251397,15887,PT GNI,Spot Contract
Molawe,Konawe Utara,Nikel Morombo (Bososi),1.161.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Morombo (Bososi),Sulawesi Tenggara,Operasi Produksi,374000,3896.06,"Kadar Ni > 1,5% (sumber daya) dan > 1,7% (cadangan)","PT Bososi Pratama, Laporan RKAB Tahun 2022",1369,122.201,-3.378,IUP,"Kec. Langgikima, Kab. Konawe Utara",1850,"Juni 6, 2031","Juni 6, 2011",63191.318,3055.373,37204.257,859336,4867,5060,103.97,18,57,87.12,71.92,29.6,15055,237479,75525,72344,663692,1049040,OPEX,1.86,0.09,0,Tidak,327384976,15544,PT GNI,CIF
Langgikima,Konawe Utara,Nikel Wawoheo,2.144.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Wawoheo,Sulawesi Tenggara,Operasi Produksi,0,0,"Pit Mawar, Pit Melati dan Pit Matahari, kadar Ni 1,6% s.d. 2%","PT Bosowa Mining, Laporan RKAB Tahun 2022",1493,122.234,-3.195,IUP,"Kec. Wiwirano, Kab. Konawe Utara",1500,"Maret 28, 2031","Januari 28, 2011",43513.992,56.367,16659.753,1523743,5052,4638,91.81,28,50,93.9,73.07,29.5,17487,224022,115587,56522,579286,975417,OPEX,1.4,0.26,0,Tidak,282941265,15961,PT IWIP,CIF
Kab. Buton,Buton,Nikel Wakalambe,1.420.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Wakalambe,Sulawesi Tenggara,Operasi Produksi,0,0,"Kadar Ni 1,12%","PT Bumi Buton Delta Megah, 2013",1429,122.792,-5.264,IUP,Kec. Kapontori,675,"September 4, 2029","September 4, 2009",22585.652,276.792,98177.205,1455142,2316,2125,91.75,16,65,89.41,80.68,45.5,19509,276085,139178,40264,585040,1040567,CAPEX,1.05,0.35,1,Tidak,289271005,15997,PT IMIP,Spot Contract
Motui,Konawe Utara,Nikel Matandahi,1.397.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Matandahi,Sulawesi Tenggara,Operasi Produksi,1430000,16016,"Blok I, Blok II dan Blok III, kadar Ni 1,,49% s.d. 1,61%","PT Bumi Konawe Abadi, Laporan RKAB Tahun 2020",1411,122.4413,-3.8204,IUP,Kec. Sawa Kab. Konawe Utara,419.6,"Desember 22, 2027","Desember 22, 2009",22645.856,523.672,9541.335,709628,5063,4623,91.31,21,51,97.41,71.35,48.7,18498,214260,77503,59675,506085,857523,CAPEX,0.32,0.29,2,Tidak,339019605,15809,PT IWIP,Spot Contract
Asera,Konawe Utara,Nikel Walalindu,1.395.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Walalindu,Sulawesi Tenggara,Operasi Produksi,0,0,"Kadar Ni 1,65%","PT Bumi Konawe Minerina, 2015",1410,122.104,-3.483,IUP,Kec. Molawe,616,"Desember 22, 2027","Juni 12, 2017",74977.258,593.661,51449.157,1749105,1875,1873,99.89,12,68,88.17,71.06,36.7,6819,212255,118724,37246,788477,1156702,OPEX,0.53,0.05,2,Tidak,302541981,15801,PT IMIP,Spot Contract
Molawe,Konawe Utara,Nikel Walalindu 1,1.930.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Walalindu 1,Sulawesi Tenggara,Operasi Produksi,3161107,40.142.444.930,"5 blok, saprolit Ni 1,93% , limonit Ni 1,5%","PT Bumi Konawe Minerina, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1462,122.2274,-3.5594,IUP,Kec. Molawe,616,"Desember 22, 2027","Juni 12, 2017",60011.478,42.963,43612.31,799862,3527,3396,96.29,27,69,86.29,70.01,26.7,24642,397964,56494,31091,557094,1042643,CAPEX,0.64,0.42,1,Tidak,261609930,15884,PT Vale Indonesia,CIF
Wawonii Tenggara,Konawe Kepulauan,Nikel Mosolo,2.523.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Mosolo,Sulawesi Tenggara,Eksplorasi,0,0,Blok Utara,"PT Bumi Konawe Mining, Assesment Report 2018",1545,123.153,-4.193,IUP,"Kec. Wawonii timur dan Wawonii Tenggara, Kab. Konawe",3175,"Desember 30, 2028","Agustus 2, 2010",,,,1707348,3325,3379,101.62,17,55,94.8,78.73,25.5,7461,217538,51010,61621,740191,1070360,OPEX,1.06,0.09,0,Tidak,339458811,15609,PT Vale Indonesia,FOB Motorship
Wawonii Tenggara,Konawe Kepulauan,Nikel Nambo Jaya,2.524.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Nambo Jaya,Sulawesi Tenggara,Eksplorasi,0,0,Blok Selatan,"PT Bumi Konawe Mining, Assesment Report 2018",1546,123.138,-4.23,IUP,"Kec. Wawonii timur dan Wawonii Tenggara, Kab. Konawe",3175,"Desember 30, 2028","Agustus 2, 2010",,,,511043,2695,2697,100.07,16,58,96.45,85.49,22.4,12648,214811,55493,55756,570041,896101,CAPEX,2.37,0.38,1,Tidak,253872260,15912,PT Aneka Tambang,CIF
Andowia,Konawe Utara,Nikel Lahimbua,2.553.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lahimbua,Sulawesi Tenggara,Operasi Produksi,1438951,181.307.826,-,"PT Bumi Nikel Nusantara, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1575,122.158,-3.522,IUP,"Molawe, Konawe Utara",386.49,"Maret 10, 2032","Oktober 16, 2018",68241.817,445.742,51200.66,1695263,1490,1416,95.03,21,43,88.62,70.7,21.3,17704,206021,142312,67825,419310,835468,CAPEX,1.36,0.18,2,Tidak,252339115,15620,PT GNI,Spot Contract
Wolo,Kolaka,Nikel Samaenre,2.148.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Samaenre,Sulawesi Tenggara,Operasi Produksi,0,0,Pit Tenggara 1-4,"PT Ceria Nugraha Indotama, Laporan RKAB Tahun 2019 (Adendum)",1497,121.319,-3.878,IUP,"Kel Wolo, Uluwolo, Ponrewaru",6785,"April 23, 2032","April 23, 2012",34840.34,864.941,3574.904,1680386,4565,4724,103.48,19,63,87.63,83.05,22.6,12470,226508,108172,47241,751764,1133685,OPEX,0.74,0.39,0,Tidak,282894365,15872,PT Vale Indonesia,CIF
Wolo,Kolaka,Nikel Pit Pao pao,301.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Pit Pao pao,Sulawesi Tenggara,Operasi Produksi,0,0,"wmt, CoG 1,3% Ni","PT Ceria Nugraha Indotama, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1314,121.289,-3.852,IUP,"Kel Wolo, Uluwolo, Ponrewaru",6785,"April 23, 2032","April 23, 2012",39216.248,60.637,1013.294,1670546,2775,2815,101.44,26,58,87.41,86.46,9,9105,305583,130516,72714,474043,982856,OPEX,0.44,0.1,1,Ya,270016597,15668,PT Vale Indonesia,Spot Contract
Wolo,Kolaka,Nikel Wolo,2.149.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Wolo,Sulawesi Tenggara,Operasi Produksi,0,0,"Pit Utara 1, Pit Utara 2","PT Ceria Nugraha Indotama, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1498,121.269,-3.843,IUP,"Kel Wolo, Uluwolo, Ponrewaru",6785,"April 23, 2032","April 23, 2012",41609.079,121.664,3423.913,1497276,4112,3868,94.07,20,66,91.79,73.36,8.5,23390,365450,52172,51064,508136,976822,CAPEX,0.98,0.09,0,Tidak,299549134,15910,PT GNI,FOB Motorship
Wolo,Kolaka,Nikel Ruby,2.150.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Ruby,Sulawesi Tenggara,Operasi Produksi,0,0,"CoG 1,4%","PT Ceria Nugraha Indotama, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1499,121.286,-3.872,IUP,"Kel Wolo, Uluwolo, Ponrewaru",6785,"April 23, 2032","April 23, 2012",38272.156,2165.17,2441.591,1207350,3081,2941,95.46,20,44,91.09,72.94,40.1,5502,346978,52223,66900,744442,1210543,OPEX,2.08,0.25,0,Tidak,279956919,15935,PT IMIP,Spot Contract
Wolo,Kolaka,Nikel Jessica,2.151.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Jessica,Sulawesi Tenggara,Operasi Produksi,0,0,"CoG 1,5%","PT Ceria Nugraha Indotama, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1500,121.287,-3.864,IUP,"Kel Wolo, Uluwolo, Ponrewaru",6785,"April 23, 2032","April 23, 2012",38655.612,1358.34,1685.468,1557748,2931,2776,94.71,12,62,88.37,87.22,25.1,9163,316048,134879,35014,757497,1243438,CAPEX,1.08,0.02,0,Tidak,285631748,15614,PT IWIP,FOB Motorship
Wolo,Kolaka,Nikel Emerald,2.528.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Emerald,Sulawesi Tenggara,Operasi Produksi,0,0,"CoG 1,3% Ni, kadar Ni 1,7%","PT Ceria Nugraha Indotama, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1550,121.24,-3.868,IUP,"Kel Wolo, Uluwolo, Ponrewaru",6785,"April 23, 2032","April 23, 2012",42901.677,1198.794,6638.52,915682,5033,4649,92.37,10,51,85.59,86.46,46.9,24852,217004,60261,34857,766701,1078823,OPEX,1.98,0.11,2,Tidak,306492216,15839,PT Vale Indonesia,CIF
Wolo,Kolaka,Nikel Saphire,2.529.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Saphire,Sulawesi Tenggara,Operasi Produksi,0,0,"CoG 1,2% Ni, kadar Ni 1,57%","PT Ceria Nugraha Indotama, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1551,121.28,-3.876,IUP,"Kel Wolo, Uluwolo, Ponrewaru",6785,"April 23, 2032","April 23, 2012",38609.418,1887.497,3191.742,1671093,1787,1648,92.22,17,41,91.26,80.78,32.5,19326,354883,65539,69141,570388,1059951,OPEX,2.05,0.36,2,Tidak,306059947,15774,PT Vale Indonesia,Spot Contract
Molawe,Konawe Utara,Nikel Mandiodo 1,1.398.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Mandiodo 1,Sulawesi Tenggara,Operasi Produksi,405879.92,3.977.623.216,"Kadar Ni 1,4%","PT Cinta Jaya, Laporan RKAB Tahun 2022",1412,122.2168,-3.5615,IUP,Kec. Molawe,309,"Desember 22, 2027","Maret 29, 2017",60610.215,1.374,43998.73,1333470,4420,4599,104.05,29,40,97.47,86.38,6.6,5826,207450,101894,71699,702789,1083832,OPEX,0.45,0.42,0,Tidak,343493120,15661,PT IWIP,FOB Motorship
Molawe,Konawe Utara,Nikel Tapungjaya 1,2.164.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapungjaya 1,Sulawesi Tenggara,Operasi Produksi,1333976.72,13.072.971.856,-,"PT Cinta Jaya, Laporan RKAB Tahun 2022",1513,122.1969,-3.5632,IUP,Kec. Molawe,309,"Desember 22, 2027","Maret 29, 2017",61962.057,63.471,45009.319,1188373,4461,4308,96.57,28,54,93.48,71.86,12.1,19846,326182,110656,77120,531123,1045081,OPEX,1.6,0.04,2,Tidak,298060914,15823,PT IMIP,FOB Motorship
Langgikima,Konawe Utara,Nikel Wiwirano,2.547.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Wiwirano,Sulawesi Tenggara,Operasi Produksi,0,0,-,"PT Cipta Djaya Selaras Mining, Laporan Studi Kelayakan Tahun 2013",1569,122.237,-3.167,IUP,"Desa Wiwirano, Kec. Wiwirano",634.8,"Juni 23, 2030","Juni 23, 2010",40535.271,1419.034,13582.788,1258409,2957,2831,95.74,22,46,91.44,77.89,14.3,24359,281866,72888,46231,696156,1097141,CAPEX,2.41,0.44,1,Tidak,306423155,16045,PT Aneka Tambang,FOB Motorship
Langgikima,Konawe Utara,Nikel Molore,2.546.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Molore,Sulawesi Tenggara,Operasi Produksi,1292158,144.721.696,"Kadar Ni 1,3% dan 1,8%","PT Cipta Djaya Surya, Laporan RKAB Tahun 2022",1568,122.288,-3.336,IUP,"Desa Molore, Kec. Langgikima",195.7,"Juni 7, 2030","Juni 7, 2010",60004.395,176.663,31805.716,1353111,2476,2499,100.93,22,38,86.44,84.76,48.9,6053,376435,94468,31113,601004,1103020,OPEX,1.12,0.4,2,Tidak,317794280,15501,PT GNI,FOB Motorship
Langgikima,Konawe Utara,Nikel Blok Paka Indah,1.932.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok Paka Indah,Sulawesi Tenggara,Operasi Produksi,0,0,-,"PT Cipta Djaya Surya, Laporan Studi Kelayakan Tahun 2013",1464,122.165,-3.362,IUP,"Desa Molore, Kec. Langgikima",195.7,"Juni 7, 2030","Juni 7, 2010",61293.118,1925.448,36557.269,555893,1421,1397,98.31,17,49,88.28,75.15,14.8,12695,261506,117487,78995,420783,878771,CAPEX,0.32,0.43,2,Tidak,267423257,16026,PT IMIP,FOB Motorship
Lasusua,Kolaka Utara,Nikel Pitulua,1.599.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Pitulua,Sulawesi Tenggara,Operasi Produksi,0,0,-,"PT Citra Silika Mallawa, 2013",1450,120.965,-3.617,IUP,Kec. Lasusua,475,"Maret 14, 2026","Maret 14, 2011",24061.944,908.633,45301.967,709695,5240,5452,104.05,13,57,88.83,85.05,28.2,13832,327693,94285,60068,567097,1049143,CAPEX,2.32,0.35,0,Tidak,316696216,15970,PT IWIP,CIF
Molawe,Konawe Utara,Nikel Pasir Panjang Boedingle,2.559.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Pasir Panjang Boedingle,Sulawesi Tenggara,Operasi Produksi,1515311,20.683.995.150,"Kadar Ni 1,64% s.d.1,95%","PT Daka Group, Laporan RKAB Tahun 2020",1581,122.3821,-3.455,IUP,"Kec. Lasolo, Konawe Utara",200,"Mei 21, 2031","Mei 21, 2012",61157.722,306.198,46584.187,868221,5285,5375,101.7,10,46,94.94,80.08,47.1,6751,287999,88265,42356,587090,1005710,CAPEX,2.23,0.34,2,Tidak,336191146,15791,PT Vale Indonesia,CIF
Tanggetada,Kolaka,Nikel Tambea,1.927.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tambea,Sulawesi Tenggara,Operasi Produksi,0,0,-,"PT Dharma Bumi Kendari, 2015",1459,121.678,-4.303,IUP,"Kec. Tanggetada/Lambandia, Kab. Kolaka",1000,"Desember 31, 2027","April 12, 2010",16723.923,241.967,12889.288,671795,2387,2320,97.19,16,68,96.4,85.01,49,8211,304425,57179,68192,502948,932744,CAPEX,1.4,0.26,1,Tidak,281806414,15835,PT IMIP,CIF
Tanggetada,Kolaka,Nikel Lamendai,1.392.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lamendai,Sulawesi Tenggara,Operasi Produksi,0,0,-,"PT Dharma Bumi Kolaka, 2015",1408,121.695,-4.312,IUP,"Kec. Tanggetada/Lambandia, Kab. Kolaka",1075,"April 12, 2030","April 12, 2010",18597.252,563.849,14980.435,1159420,1530,1463,95.62,16,62,96.72,79.29,15.6,7648,387759,95187,75194,549787,1107927,OPEX,1.47,0.33,0,Tidak,267834002,15703,PT IWIP,CIF
Lasolo,Konawe Utara,Nikel Blok DTGP-1 (A),2.941.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok DTGP-1 (A),Sulawesi Tenggara,Operasi Produksi,1512500,18.104.625,"Kadar Ni 0,8% - 1,76%, Kadar Fe 19,78% - 38,45%","PT Duta Tambang Gunung Perkasa, Laporan RKAB Tahun 2022",1661,122.2637,-3.3884,IUP,"Kec. Lasolo, Kab. Konawe Utara",138.2,"Oktober 21, 2031","Oktober 21, 2011",65148.518,182.154,37548.988,1502604,1903,1994,104.78,13,52,97.8,77.36,7.2,7892,342549,130275,44240,601071,1118135,CAPEX,0.69,0.46,0,Tidak,284621445,15571,PT GNI,Spot Contract
Lasolo,Konawe Utara,Nikel Lasolo (DMS),1.187.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lasolo (DMS),Sulawesi Tenggara,Operasi Produksi,3598278,453.383.028,"Blok A, B, C, D dan E, kadar Ni 1,65% - 1,8%","PT Dwimitra Multiguna Sejahtera, Laporan RKAB Tahun 2020",1376,122.258,-3.672,IUP,Kec. Lasolo,130,"Juli 14, 2030","Juli 14, 2010",48657.105,385.358,31238.897,1481643,1677,1690,100.78,15,67,97.77,74.38,11.9,12474,282911,112675,68483,419880,883949,CAPEX,2.08,0.05,2,Tidak,277503886,15814,PT Vale Indonesia,CIF
Molawe,Konawe Utara,Nikel Morombo 1,1.945.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Morombo 1,Sulawesi Tenggara,Operasi Produksi,1816089,22.540.480.410,"Blok Yudistira dan Blok Olivin, kadar Ni 1,55% s.d. 1,80%","PT Elit Kharisma Utama, Laporan RKAB Tahun 2020",1477,122.235,-3.379,IUP,"Kec. Langgikima dan Lasolo, Konawe Utara",496.1,"Agustus 19, 2030","Agustus 19, 2010",63654.416,262.04,36715.552,1206644,4807,5012,104.26,10,50,97.39,74.17,7.8,13740,289478,139305,69377,460720,958880,CAPEX,1.35,0.16,1,Tidak,308514782,15948,PT IWIP,CIF
Lasusua,Kolaka Utara,Nikel Blok PT FBS,2.942.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok PT FBS,Sulawesi Tenggara,Operasi Produksi,0,0,"Kadar Ni 2,05% - 2,33%, Kadar Fe 20,99% - 22,84%","PT Fatwa Bumi Sejahtera, Laporan RKAB Tahun 2022",1662,120.9152,-3.563,IUP,"Desa Pitulua, Kecamatan Lasusua",101,"Januari 26, 2017","Januari 27, 2012",16779.411,1314.046,53293.769,1782620,5056,4640,91.77,22,39,85.93,85.03,13.8,8997,340914,62617,55084,706713,1165328,OPEX,0.28,0.04,1,Ya,336373589,15627,PT GNI,CIF
Wawonii Tengah,Konawe Kepulauan,Nikel Latambaga,2.525.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Latambaga,Sulawesi Tenggara,Eksplorasi,0,0,Blok Utara,"PT Gema Kreasi Perdana, Assesment Report 2018",1547,123.021,-4.086,IUP,"Kec. Wawonii Barat dan tengah, Kab. Konawe",958,"November 14, 2028","Januari 10, 2010",,,,1347854,2028,2084,102.76,28,36,86.79,72.38,30.6,10078,269212,51101,61617,540771,922701,OPEX,1.77,0.47,0,Tidak,309643246,15894,PT IWIP,Spot Contract
